open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,ticker
92.900002,93.650002,91.330002,92.660004,92.660004,35571000.0,35571000.0,-0.24,-0.258,92.54667,"February 11, 21",-0.00258,AMD
92.75,94.220001,91.900002,93.769997,93.769997,38538400.0,38538400.0,1.02,1.1,93.29667,"February 12, 21",0.011,AMD
93.900002,94.0,90.75,91.459999,91.459999,35105900.0,35105900.0,-2.44,-2.599,92.07,"February 16, 21",-0.02599,AMD
90.559998,90.959999,88.57,89.940002,89.940002,32245500.0,32245500.0,-0.62,-0.685,89.82333,"February 17, 21",-0.00685,AMD
89.089996,89.599998,87.309998,88.639999,88.639999,35624900.0,35624900.0,-0.45,-0.505,88.51666,"February 18, 21",-0.00505,AMD
89.75,90.419998,88.690002,89.580002,89.580002,29548300.0,29548300.0,-0.17,-0.189,89.56333,"February 19, 21",-0.00189,AMD
88.150002,88.300003,85.209999,85.370003,85.370003,36930200.0,36930200.0,-2.78,-3.154,86.29334,"February 22, 21",-0.03154,AMD
83.400002,85.110001,79.360001,84.739998,84.739998,49720900.0,49720900.0,1.34,1.607,83.07,"February 23, 21",0.01607,AMD
84.330002,87.089996,82.809998,86.940002,86.940002,40821200.0,40821200.0,2.61,3.095,85.61333,"February 24, 21",0.03095,AMD
86.169998,87.089996,81.919998,82.419998,82.419998,54625100.0,54625100.0,-3.75,-4.352,83.81,"February 25, 21",-0.04352,AMD
83.57,85.589996,82.910004,84.510002,84.510002,48962900.0,48962900.0,0.94,1.125,84.33667,"February 26, 21",0.01125,AMD
85.370003,86.5,83.970001,86.389999,86.389999,32746200.0,32746200.0,1.02,1.195,85.62,"March 01, 21",0.01195,AMD
86.919998,86.949997,84.040001,84.129997,84.129997,34828200.0,34828200.0,-2.79,-3.21,85.04,"March 02, 21",-0.0321,AMD
84.279999,84.379997,80.849998,80.860001,80.860001,43541000.0,43541000.0,-3.42,-4.058,82.03,"March 03, 21",-0.04058,AMD
80.230003,81.809998,76.779999,77.75,77.75,60549400.0,60549400.0,-2.48,-3.091,78.78,"March 04, 21",-0.03091,AMD
79.0,79.480003,74.199997,78.519997,78.519997,58548900.0,58548900.0,-0.48,-0.608,77.4,"March 05, 21",-0.00608,AMD
78.029999,79.0,73.860001,73.959999,73.959999,54563900.0,54563900.0,-4.07,-5.216,75.60667,"March 08, 21",-0.05216,AMD
76.730003,79.220001,75.769997,78.529999,78.529999,45088300.0,45088300.0,1.8,2.346,77.84,"March 09, 21",0.02346,AMD
79.75,80.040001,77.410004,77.519997,77.519997,45416600.0,45416600.0,-2.23,-2.796,78.32333,"March 10, 21",-0.02796,AMD
79.400002,81.889999,79.370003,81.230003,81.230003,43583700.0,43583700.0,1.83,2.305,80.83,"March 11, 21",0.02305,AMD
79.730003,81.190002,79.230003,81.050003,81.050003,32938000.0,32938000.0,1.32,1.656,80.49,"March 12, 21",0.01656,AMD
81.910004,83.389999,81.199997,82.5,82.5,39086800.0,39086800.0,0.59,0.72,82.36333,"March 15, 21",0.0072,AMD
83.660004,84.75,82.260002,82.75,82.75,42971600.0,42971600.0,-0.91,-1.088,83.25333,"March 16, 21",-0.01088,AMD
81.75,83.25,80.410004,82.629997,82.629997,43320600.0,43320600.0,0.88,1.076,82.09667,"March 17, 21",0.01076,AMD
81.059998,81.620003,78.010002,78.120003,78.120003,51036500.0,51036500.0,-2.93999,-3.627,79.25,"March 18, 21",-0.03627,AMD
78.489998,79.339996,77.589996,79.059998,79.059998,42283400.0,42283400.0,0.57,0.726,78.66333,"March 19, 21",0.00726,AMD
79.989998,81.269997,79.220001,80.300003,80.300003,39648600.0,39648600.0,0.31001,0.388,80.26333,"March 22, 21",0.00388,AMD
80.129997,80.339996,77.949997,78.379997,78.379997,40466600.0,40466600.0,-1.75,-2.184,78.89,"March 23, 21",-0.02184,AMD
77.550003,78.800003,76.400002,76.480003,76.480003,43753600.0,43753600.0,-1.07,-1.38,77.22667,"March 24, 21",-0.0138,AMD
75.849998,76.949997,74.959999,76.220001,76.220001,44735100.0,44735100.0,0.37,0.488,76.04333,"March 25, 21",0.00488,AMD
76.620003,77.5,75.029999,77.410004,77.410004,49148700.0,49148700.0,0.79,1.031,76.64667,"March 26, 21",0.01031,AMD
77.029999,78.019997,76.260002,77.139999,77.139999,37144300.0,37144300.0,0.11,0.143,77.14,"March 29, 21",0.00143,AMD
76.470001,76.559998,74.849998,76.0,76.0,39169300.0,39169300.0,-0.47,-0.615,75.80333,"March 30, 21",-0.00615,AMD
76.57,79.129997,76.519997,78.5,78.5,43659500.0,43659500.0,1.93,2.521,78.05,"March 31, 21",0.02521,AMD
80.160004,81.309998,79.480003,81.089996,81.089996,40182400.0,40182400.0,0.92999,1.16,80.62667,"April 01, 21",0.0116,AMD
81.739998,81.900002,80.389999,81.43,81.43,32610600.0,32610600.0,-0.31,-0.379,81.24,"April 05, 21",-0.00379,AMD
81.209999,82.459999,80.879997,81.440002,81.440002,29327900.0,29327900.0,0.23,0.283,81.59333,"April 06, 21",0.00283,AMD
81.32,83.099998,80.349998,82.199997,82.199997,35590900.0,35590900.0,0.88,1.082,81.88333,"April 07, 21",0.01082,AMD
83.32,83.790001,82.440002,83.349998,83.349998,41925300.0,41925300.0,0.03,0.036,83.19333,"April 08, 21",0.00036,AMD
82.800003,83.589996,82.160004,82.760002,82.760002,32759900.0,32759900.0,-0.04,-0.048,82.83667,"April 09, 21",-0.00048,AMD
82.059998,82.18,78.029999,78.580002,78.580002,62098800.0,62098800.0,-3.48,-4.241,79.59667,"April 12, 21",-0.04241,AMD
79.669998,80.720001,78.980003,80.190002,80.190002,37767300.0,37767300.0,0.52,0.653,79.96334,"April 13, 21",0.00653,AMD
79.879997,80.129997,77.940002,78.550003,78.550003,34263800.0,34263800.0,-1.32999,-1.665,78.87333,"April 14, 21",-0.01665,AMD
80.32,83.95,79.97,83.01,83.01,69326088.0,69326088.0,2.69,3.349,82.31,"April 15, 21",0.03349,AMD
83.3,83.59,81.53,82.15,82.15,47557630.0,47557630.0,-1.15,-1.381,82.42333,"April 16, 21",-0.01381,AMD
82.13,83.18,80.39,81.11,81.11,39336397.0,39336397.0,-1.02,-1.242,81.56,"April 19, 21",-0.01242,AMD
80.82,81.11,78.51,79.27,79.27,35083205.0,35083205.0,-1.55,-1.918,79.63,"April 20, 21",-0.01918,AMD
78.99,81.66,78.86,81.61,81.61,35199333.0,35199333.0,2.62,3.317,80.71,"April 21, 21",0.03317,AMD
81.61,81.79,78.59,79.06,79.06,38767752.0,38767752.0,-2.55,-3.125,79.81333,"April 22, 21",-0.03125,AMD
80.21,83.3,79.96,82.76,82.76,49360292.0,49360292.0,2.55,3.179,82.00667,"April 23, 21",0.03179,AMD
83.35,85.9,82.7,85.41,85.41,57441477.0,57441477.0,2.06,2.472,84.67,"April 26, 21",0.02472,AMD
85.67,87.15,85.13,85.21,85.21,59602479.0,59602479.0,-0.46,-0.537,85.83,"April 27, 21",-0.00537,AMD
88.85,89.2,83.92,84.02,84.02,109194023.0,109194023.0,-4.83,-5.436,85.71333,"April 28, 21",-0.05436,AMD
84.7,85.27,82.63,83.91,83.91,51559389.0,51559389.0,-0.79,-0.933,83.93667,"April 29, 21",-0.00933,AMD
82.97,84.1,81.42,81.62,81.62,46548837.0,46548837.0,-1.35,-1.627,82.38,"April 30, 21",-0.01627,AMD
81.97,82.0,78.46,78.55,78.55,66357164.0,66357164.0,-3.42,-4.172,79.67,"May 03, 21",-0.04172,AMD
77.95,78.67,77.04,78.61,78.61,59778802.0,59778802.0,0.66,0.847,78.10667,"May 04, 21",0.00847,AMD
79.05,79.3,77.36,77.83,77.83,42534857.0,42534857.0,-1.22,-1.543,78.16333,"May 05, 21",-0.01543,AMD
77.63,78.06,76.47,77.89,77.89,38686128.0,38686128.0,0.26,0.335,77.47333,"May 06, 21",0.00335,AMD
78.75,79.57,78.22,78.81,78.81,36948362.0,36948362.0,0.06,0.076,78.86667,"May 07, 21",0.00076,AMD
78.2,78.3,75.92,75.99,75.99,45241790.0,45241790.0,-2.21,-2.826,76.73667,"May 10, 21",-0.02826,AMD
73.57,76.93,72.75,76.83,76.83,51105700.0,51105700.0,3.26,4.431,75.50333,"May 11, 21",0.04431,AMD
75.09,76.13,74.16,74.64,74.64,42611308.0,42611308.0,-0.45,-0.599,74.97667,"May 12, 21",-0.00599,AMD
75.21,75.7,72.5,73.09,73.09,48900235.0,48900235.0,-2.12,-2.819,73.76333,"May 13, 21",-0.02819,AMD
74.02,75.03,72.72,74.59,74.59,38303554.0,38303554.0,0.57,0.77,74.11333,"May 14, 21",0.0077,AMD
74.22,75.52,73.41,74.65,74.65,40640469.0,40640469.0,0.43,0.579,74.52667,"May 17, 21",0.00579,AMD
74.74,75.77,74.24,74.44,74.44,32033523.0,32033523.0,-0.3,-0.401,74.81667,"May 18, 21",-0.00401,AMD
